id,tweetID,coordinates,hashtags
8.04E+17,9.41E+17,,Fed
15002968,9.41E+17,,wegermee
2882547575,9.41E+17,"4.8754053,52.3682853",chrisrushmer
192177636,9.41E+17,,pvda
126073175,9.41E+17,"4.743783,52.378855",LifeLiner1
91844132,9.41E+17,"4.8922,52.3731",35mm
1166383453,9.41E+17,"4.8932,52.3731",Roemer
24354074,9.41E+17,"4.87930128,52.35621485",madeleinepeyroux
1166383453,9.41E+17,"4.8932,52.3731",gropsv
21182574,9.41E+17,,wkhandbal
111862103,9.41E+17,,vandaal
165790476,9.41E+17,,innovatie
21182574,9.41E+17,,pt
3375579785,9.41E+17,"4.577366,52.27364",brugopen
461285387,9.41E+17,,kerstmishetniet
2629973298,9.41E+17,"4.89343822,52.37287766",tbt
15588419,9.41E+17,"4.87109972,52.37236574",StopBrexit
12067202,9.41E+17,,gvbeestje
19140633,9.41E+17,"4.95781,52.31674",AMSTERDAM
274312381,9.41E+17,,Wednesday
1166383453,9.41E+17,"4.8932,52.3731",stroomstoring
89019574,9.41E+17,,doorselecteren
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
7.32E+17,9.41E+17,,facebook
231889158,9.41E+17,,Dwdd
224671737,9.41E+17,"4.9569686,52.3154889",alarm
153122854,9.41E+17,,coderodewijn
493854788,9.41E+17,"4.898056,52.374167",amsterdam
117020800,9.41E+17,"4.8922,52.3731",wamdenim
192177636,9.41E+17,,teamnl
20438716,9.41E+17,,Cloudstorage
1166383453,9.41E+17,"4.8932,52.3731",trndnl
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
40951432,9.41E+17,"4.8922,52.3731",travel
7.02E+17,9.41E+17,"4.8922,52.3731",irinaandelena
1168186100,9.41E+17,"4.88895893,52.36354596",holland
1166383453,9.41E+17,"4.8932,52.3731",gropsv
139484187,9.41E+17,"4.76731,52.50027",kerstpakketten
19703677,9.41E+17,,dwdd
259908115,9.41E+17,,Regen
7.02E+17,9.41E+17,"4.8922,52.3731",irinaandelena
16325786,9.41E+17,"4.83571388,52.38950775",craftbeer
24408725,9.41E+17,,dwdd
1897191638,9.41E+17,"4.8922,52.3731",banksy
19703677,9.41E+17,,miekoe
2805394195,9.41E+17,"4.89282,52.36924",happyclient
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
317043944,9.41E+17,"4.85641,52.36436",WordsToLiveBy
836000996,9.41E+17,,Yemen
9.10E+17,9.41E+17,,groenetechpioniers
3598644755,9.41E+17,"4.88939422,52.34162519",Amsterdam
238977674,9.41E+17,,gropsv
1734286062,9.41E+17,,teamroasters
482348898,9.41E+17,,gropsv
7.63E+17,9.41E+17,,BOA
3375579785,9.41E+17,"4.815239,52.311659",brugopen
151078227,9.41E+17,,PSV
3375579785,9.41E+17,"4.815827,52.31273",brugopen
3341787057,9.41E+17,"4.8922,52.3731",camisetaviajera
3375579785,9.41E+17,"4.815827,52.31273",brugopen
