id,tweetID,coordinates,hashtags
19902473,9.41E+17,"11.71730455,44.3446025",hondaracing
2767256731,9.41E+17,,JensenAckles
852324414,9.41E+17,,GazzettaSportsAwards
2767256731,9.41E+17,,JensenAckles
2767256731,9.41E+17,,JensenAckles
418259535,9.41E+17,,Christmas
1481274198,9.41E+17,,female
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
2505549962,9.41E+17,"11.59481,44.82295",sopolish
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
600096459,9.41E+17,"11.2489386,44.4858704",preconcerto
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
2584723270,9.41E+17,,scrittura
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
4896346714,9.41E+17,,INSTAFOREX_Fraudulent_Broker
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
428220019,9.41E+17,"11.2489386,44.4858704",globalspirit
81176705,9.41E+17,"10.1667,43.95",fortedeimarmi
2584723270,9.41E+17,,comunicazione
390774278,9.41E+17,"10.91992,44.63518",onlineextremeshopmodena
390774278,9.41E+17,"10.91992,44.63518",onlineextremeshopmodena
390774278,9.41E+17,"10.91992,44.63518",onlineextremeshopmodena
2767256731,9.41E+17,,SPNFamiLy
450987773,9.41E+17,,Sicily
9.27E+17,9.41E+17,,Italy
200157195,9.41E+17,"10.77039431,44.53907122",dancinperfect
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
4096050322,9.41E+17,,Italy
8.37E+17,9.41E+17,,bologna
515697495,9.41E+17,,Internationalescorts
162416522,9.41E+17,"11.34378357,44.49375332",anniversario
162416522,9.41E+17,"11.34378357,44.49375332",Natale
95929033,9.41E+17,"11.35642,44.50942",business
7.71E+17,9.41E+17,,Bologna
9.41E+17,9.41E+17,,makeupartist
4309240775,9.41E+17,"10.89626637,44.68308641",miura
94293173,9.41E+17,,Wine
2767256731,9.41E+17,,SPNFamiLy
186574994,9.41E+17,"11.3514,44.5075",producer
43504581,9.41E+17,,the100
1392989570,9.41E+17,,ForzaInter
1347801546,9.41E+17,"11.2489386,44.4858704",Bologna
7.49E+17,9.41E+17,,bologna
2767256731,9.41E+17,,SPNFamiLy
473166428,9.41E+17,,StarWars8
2767256731,9.41E+17,,SPNFamiLy
793852862,9.41E+17,,MilanVerona
510256540,9.41E+17,,Pontifex
49581861,9.41E+17,"11.40949,44.51301",simonepaciaroni
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
495214490,9.41E+17,,Arte
578498576,9.41E+17,"11.15,44.71666667",66anni
351977375,9.41E+17,,ottoemezzo
1121293056,9.41E+17,,WHUFCVAFC
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
2921447206,9.41E+17,,letamepolitico
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
166642953,9.41E+17,"11.3514,44.5075",bologna
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
2767256731,9.41E+17,,SPNFamily
2767256731,9.41E+17,,SPNFamily
95929033,9.41E+17,"11.35642,44.50942",evento
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
1121293056,9.41E+17,,SWAMCI
2767256731,9.41E+17,,SPNFamily
2767256731,9.41E+17,,SPNFamily
2767256731,9.41E+17,,SPNFamily
13152432,9.41E+17,,webrankingway
929750694,9.41E+17,"11,44.75",fattoio
2651274657,9.41E+17,,Berlusconi
1121293056,9.41E+17,,PremierLeague
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
203236046,9.41E+17,,Prodi
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
2767256731,9.41E+17,,LoveLouder
1106950106,9.41E+17,,MobiltyPlannerIrony
71280561,9.41E+17,"11.37297,44.57149",CastelMaggiore
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
495819133,9.41E+17,"11.33952,44.48735",food
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
418796936,9.41E+17,,pizzaiolo
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
467543553,9.41E+17,,Natale
4784121426,9.41E+17,,StarWarsGliultimiJedi
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
417173453,9.41E+17,"11.36606493,44.51125304",motorshow
2332866875,9.41E+17,,funghi
18335531,9.41E+17,"11.36571906,44.51188625",towers
13152432,9.41E+17,,webrankingway
