id,tweetID,coordinates,hashtags
20997248,9.41378E+17,"1.34146797,52.66433465",thehatwasaprop
19437014,9.41378E+17,,Disappointed
3513942197,9.41378E+17,,Vamps10Days
578212982,9.41378E+17,"-0.17525278,51.26550674",golf
776537682,9.41378E+17,"-0.1157,51.5072",southbank
263595500,9.41378E+17,"-0.1699,50.95059",tryingideas
908280494,9.41378E+17,,Vamps10Days
184403468,9.41378E+17,,career
213780227,9.41378E+17,"-0.65,51.7833",santaclausiscomingtotown
907738676,9.41378E+17,,NetNuetrality
2974790121,9.41378E+17,,ChangingPlaces
1266803563,9.41378E+17,"-0.1271,51.5063",trndnl
1266803563,9.41378E+17,"-0.1271,51.5063",trndnl
190788533,9.41378E+17,,StarWars
18801001,9.41378E+17,"-0.1501085,51.51800227",christmastree
2800558308,9.41378E+17,,cookbook
118636236,9.41378E+17,,secretsanta
486884803,9.41378E+17,,perfectgift
310996034,9.41378E+17,,PDCWorldChampionships
2369263688,9.41378E+17,"1.7,52.7167",beautiful
184403468,9.41378E+17,,legal
7.24953E+17,9.41378E+17,,LearnDevelopLive
1345213452,9.41378E+17,,billericaytown
215441794,9.41378E+17,,SURVIVORALLSTARS
2308090698,9.41378E+17,"-0.30265012,51.41023474",Mum
1069092416,9.41378E+17,,kent
908280494,9.41378E+17,,Vamps10Days
21297911,9.41378E+17,,Win
3141415881,9.41378E+17,"-0.12731805,51.50711486",aerialstraps
908280494,9.41378E+17,,Vamps10Days
310996034,9.41378E+17,,PDCWorldChampionships
1370646288,9.41378E+17,,Iranian
101043069,9.41378E+17,"-0.1842681,51.5106478",wildberrymousse
259822683,9.41379E+17,,WhereIsMyDelivery
20242355,9.41379E+17,"-0.13353434,51.52817475",whataday
872527274,9.41379E+17,,Dublin
3076892038,9.41379E+17,,wifey
1958919168,9.41379E+17,,lovelivemusic
332306794,9.41379E+17,"-0.597466,51.315705",bliss
40177589,9.41379E+17,"-0.18230237,51.43530358",cascais
146031631,9.41379E+17,"-0.12731805,51.50711486",Christmas
22409966,9.41379E+17,,itstherules
360484543,9.41379E+17,,eustonstation
744358357,9.41379E+17,,tbt
1203570122,9.41379E+17,"-0.11741732,51.36006389",estateagents
143438261,9.41379E+17,"-0.30582918,51.41855832",christmas
2742852911,9.41379E+17,,maybot
265353419,9.41379E+17,,StarWarsTheLastJedi
1069092416,9.41379E+17,,inspiration
390728237,9.41386E+17,,charity
3834334557,9.41386E+17,,CoinsiliumGroup
1924489560,9.41386E+17,,SmokingIsCool
22508724,9.41386E+17,"-0.153433,51.5225215",ANTOR
1553513558,9.41386E+17,,Vodka
283612774,9.41386E+17,,Bedminster
7.19109E+17,9.41386E+17,,human
380861974,9.41386E+17,,OperationContinuum
4038348195,9.41386E+17,,hard
577045941,9.41386E+17,"-0.20336611,51.76402321",tbt
156940645,9.41386E+17,,ukwinehour
